service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
-999,1,1,1,1,1,1,1,20240902,20250105
1,1,1,1,1,1,0,0,20240902,20250105
101,0,0,0,0,0,0,0,20240902,20250105
1101,0,0,0,0,0,0,0,20240902,20250105
118403,0,0,0,0,0,0,0,20240902,20250105
1201,0,0,0,0,0,0,0,20240902,20250105
152201,0,0,0,0,0,0,0,20240902,20250105
152301,0,0,0,0,0,0,0,20240902,20250105
155601,0,0,0,0,0,0,0,20240902,20250105
162601,0,0,0,0,0,0,0,20240902,20250105
169801,0,0,0,0,0,0,0,20240902,20250105
1803,0,0,0,0,0,0,0,20240902,20250105
1901,0,0,0,0,0,0,0,20240902,20250105
2,0,0,0,0,0,1,0,20240902,20250105
2001,0,0,0,0,0,0,0,20240902,20250105
201,0,0,0,0,0,0,0,20240902,20250105
253403,0,0,0,0,0,0,0,20240902,20250105
259701,0,0,0,0,0,0,0,20240902,20250105
259702,0,0,0,0,0,0,0,20240902,20250105
259703,0,0,0,0,0,0,0,20240902,20250105
259801,0,0,0,0,0,0,0,20240902,20250105
259802,0,0,0,0,0,0,0,20240902,20250105
259803,0,0,0,0,0,0,0,20240902,20250105
3,0,0,0,0,0,0,1,20240902,20250105
32603,0,0,0,0,0,0,0,20240902,20250105
62101,0,0,0,0,0,0,0,20240902,20250105
62201,0,0,0,0,0,0,0,20240902,20250105
701,0,0,0,0,0,0,0,20240902,20250105
75301,0,0,0,0,0,0,0,20240902,20250105
75401,0,0,0,0,0,0,0,20240902,20250105
801,0,0,0,0,0,0,0,20240902,20250105
