route_name,direction_id,direction_name,direction_do
2,0,Burrard Station,0
2,1,Macdonald,1
3,0,Waterfront Station,0
3,1,Main-Marine Drive Station,1
4,0,Downtown/Powell,0
4,1,UBC,1
5,0,Downtown,0
5,1,Robson,1
6,0,Downtown,0
6,1,Davie,1
7,0,Nanaimo Station,0
7,1,Dunbar,1
8,0,Fraser,0
8,1,Waterfront Station,1
9,0,Commercial-Broadway Station/Boundary,0
9,1,Alma,1
10,0,Waterfront Station,0
10,1,Granville,1
14,0,Downtown/Hastings,0
14,1,UBC,1
15,0,Olympic Village Station,0
15,1,Cambie,1
16,0,29th Ave Station,0
16,1,Arbutus,1
17,0,Downtown,0
17,1,Oak,1
19,0,Metrotown Station,0
19,1,Stanley Park,1
20,0,Downtown,0
20,1,Victoria,1
22,0,Knight,0
22,1,Downtown,1
23,0,Main Street Station,0
23,1,English Bay,1
25,0,Brentwood Station,0
25,1,UBC,1
26,0,Joyce Station,0
26,1,29th Ave Station,1
27,0,Kootenay Loop,0
27,1,Joyce Station,1
28,0,Phibbs Exchange,0
28,1,Joyce Station,1
29,0,29th Ave Station,0
29,1,Elliott,1
31,0,Metrotown Station,0
31,1,River District,1
32,0,Downtown,0
32,1,Dunbar,1
33,0,29th Ave Station,0
33,1,UBC,1
41,0,Joyce Station,0
41,1,Crown,1
42,0,Alma,0
42,1,Spanish Banks,1
44,0,Downtown,0
44,1,UBC,1
49,0,Metrotown Station,0
49,1,UBC,1
50,0,Waterfront Station,0
50,1,False Creek/Granville Island,1
68,0,UBC Exchange,0
68,1,Wesbrook Village,1
80,0,River District,0
80,1,Marine Drive Station,1
84,0,VCC-Clark Station,0
84,1,UBC,1
99,0,Commercial-Broadway Station B-Line,0
99,1,UBC B-Line,1
100,0,22nd St Station,0
100,1,Marpole,1
101,0,Lougheed Station,0
101,1,22nd St Station,1
102,0,Victoria Hill,0
102,1,New Westminster Station,1
103,0,New Westminster Station,0
103,1,Quayside,1
104,0,22nd St Station,0
104,1,Annacis Island,1
105,0,Uptown,0
