route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10232,TL,256,Whitby Estate/Park Royal/Spuraway,,3,,,
11201,TL,033,29th Avenue Station/UBC,,3,,,
11692,TL,364,Langley Centre/Scottsdale,,3,,,
11693,TL,388,22nd St Station/Carvolth Exchange,,3,,,
11696,TL,609,South Delta Exchange/Ladner Exchange,,3,,,
12940,TL,595,Maple Meadows Station/Langley Centre,,3,,,
13684,TL,414,Richmond Oval/Brighouse Station,,3,,,
13686,TL,,Canada Line,,1,,007c9f,FFFFFF
16717,TL,209,Upper Lynn Valley/Burrard Station,,3,,,
16718,TL,014,Hastings/UBC,,3,,,
16719,TL,109,New Westminster Station/Lougheed Station,,3,,,
17707,TL,337,Fraser Heights/Guildford/Surrey Centre,,3,,,
18213,TL,231,Harbourside/Lonsdale Quay,,3,,,
18705,TL,531,White Rock Centre/Willowbrook,,3,,,
20667,TL,555,Carvolth Exchange/Lougheed Station,,3,,,
22638,TL,188,Coquitlam Central Station/Port Coquitlam Station,,3,,,
22639,TL,227,Lynn Valley/Phibbs Exchange,,3,,,
23384,TL,503,Aldergrove/Surrey Central Station,,3,,,
29038,TL,342,Langley Centre/Newton Exchange,,3,,,
29039,TL,864,Lord Tweedsmuir School,,3,,,
29040,TL,840,Brookswood School,,3,,,
30036,TL,170,Port Coquitlam Station/Port Coquitlam South,,3,,,
30037,TL,171,Coquitlam Central Station/Fremont,,3,,,
30038,TL,172,Coquitlam Central Station/Riverside,,3,,,
30039,TL,173,Coquitlam Central Station/Cedar,,3,,,
30040,TL,174,Coquitlam Central Station/Rocklin,,3,,,
30041,TL,175,Coquitlam Central Station/Meridian,,3,,,
30043,TL,180,Moody Centre Station/Lougheed Station,,3,,,
30044,TL,181,Moody Centre Station/Ioco,,3,,,
30045,TL,182,Moody Centre Station/Belcarra,,3,,,
30046,TL,183,Moody Centre Station/Coquitlam Central Station,,3,,,
30047,TL,184,Moody Centre Station/Noons Creek,,3,,,
30048,TL,185,Coquitlam Central Station/Lansdowne,,3,,,
30049,TL,186,Coquitlam Central Station/Hampton Park,,3,,,
30050,TL,187,Coquitlam Central Station/Parkway Blvd,,3,,,
30051,TL,189,Coquitlam Central Station/Lafarge Park,,3,,,
30052,TL,,Millennium Line,,1,,ffcd00,333333
30053,TL,,Expo Line,,1,,0033a0,FFFFFF
30055,TL,023,Main St Station/English Bay,,3,,,
30584,TL,191,Coquitlam Central Station/Princeton,,3,,,
31816,TL,360,Ocean Park/Peace Arch Hospital,,3,,,
31817,TL,361,Ocean Park/White Rock Centre,,3,,,
31818,TL,362,Seaside/White Rock Centre,,3,,,
31819,TL,363,Southpoint/Peace Arch Hospital,,3,,,
31820,TL,372,Clayton Heights/Langley Centre,,3,,,
31821,TL,733,Rock Ridge/Haney Place/Port Haney Station,,3,,,
31822,TL,741,Anderson Creek/Haney Place/Port Haney St,,3,,,
32799,TL,119,Edmonds Station/Metrotown Station,,3,,,
33292,TL,133,Holdom Station/Edmonds Station,,3,,,
33538,TL,068,UBC Exchange/Wesbrook Village,,3,,,
34042,TL,745,Haney Place/Cottonwood,,3,,,
34043,TL,746,Haney Place/Albion,,3,,,
34044,TL,560,Murrayville/Langley Centre,,3,,,
34045,TL,561,Langley Centre/Brookswood,,3,,,
34540,TL,719,Meadowtown/Fraser Way,,3,,,
34541,TL,722,Meadowtown/Bonson,,3,,,
34542,TL,406,Richmond Brighouse Station/Steveston,,3,,,
34543,TL,408,Brighouse/Ironwood/Riverport,,3,,,
34544,TL,282,Mt Gardner/Snug Cove,,3,,,
36799,TL,249,Lonsdale Quay/Delbrook,,3,,,
37807,TL,R5,Hastings St,,3,,008522,FFFFFF
37808,TL,R1,King George Blvd,,3,,008522,FFFFFF
37809,TL,R3,Lougheed Hwy,,3,,008522,FFFFFF
37810,TL,R4,41st Ave,,3,,008522,FFFFFF
38311,TL,R2,Marine Dr,,3,,008522,FFFFFF
39304,TL,031,Metrotown Station/River District,,3,,,
39305,TL,222,Metrotown Station/Phibbs Exchange,,3,,,
39307,TL,245,Phibbs/Capilano,,3,,,
40855,TL,350,White Rock Centre/Crescent Beach,,3,,,
44845,TL,900,Bike Bus/Bike Bus,,3,,,
45596,TL,080,Marine Dr Station/River District,,3,,,
46099,TL,102,New Westminster Station/Victoria  Hill,,3,,,
46604,TL,R6,Scott Rd,,3,,008522,FFFFFF
6612,TL,002,Macdonald/Burrard Station,,3,,,
6613,TL,003,Main/Waterfront Station,,3,,,
6614,TL,004,Powell/Downtown/UBC,,3,,,
6615,TL,005,Robson/Downtown,,3,,,
6616,TL,006,Davie/Downtown,,3,,,
6617,TL,007,Nanaimo Station/Dunbar,,3,,,
6618,TL,008,Fraser/Waterfront Station,,3,,,
6619,TL,009,Boundary/Commercial-Broadway/Granville/Alma/UBC,,3,,,
6620,TL,010,Granville/Waterfront Station,,3,,,
6621,TL,015,Cambie/Olympic Village Station,,3,,,
6622,TL,016,29th Avenue Station/Arbutus,,3,,,
6623,TL,017,Downtown/Oak,,3,,,
6624,TL,019,Metrotown Station/Stanley Park,,3,,,
6625,TL,020,Victoria/Downtown,,3,,,
6626,TL,022,Knight/Downtown,,3,,,
6627,TL,025,Brentwood Station/UBC,,3,,,
6628,TL,026,Joyce Station/29th Avenue Station,,3,,,
6629,TL,027,Kootenay Loop Loop/Joyce Station,,3,,,
6630,TL,028,Phibbs Exchange/Joyce Station,,3,,,
6631,TL,029,Elliott/29th Avenue Station,,3,,,
6633,TL,041,Joyce Station/Crown,,3,,,
6635,TL,044,UBC/Downtown,,3,,,
6636,TL,049,Metrotown Station/Dunbar Loop/UBC,,3,,,
6637,TL,050,Waterfront Station/False Creek South,,3,,,
6638,TL,084,UBC/VCC-Clark Station,,3,,,
6641,TL,099,Commercial-Broadway/UBC (B-Line),,3,,d04110,FFFFFF
6642,TL,100,22nd St Station/Marpole Loop,,3,,,
6643,TL,101,Lougheed Station/22nd St Station,,3,,,
6644,TL,104,22nd St Station/Annacis Island,,3,,,
6645,TL,106,New Westminster Station/Edmonds Station,,3,,,
6646,TL,110,Lougheed Station/Metrotown Station,,3,,,
6647,TL,112,Edmonds Station/New West Station,,3,,,
6648,TL,116,Edmonds Station/Metrotown Station,,3,,,
6649,TL,123,New West Station/Brentwood Station,,3,,,
6650,TL,129,Patterson Station/Holdom Station,,3,,,
6651,TL,130,Metrotown/Pender/Kootenay Loop,,3,,,
6652,TL,134,Lake City Station/Brentwood Station,,3,,,
6654,TL,136,Lougheed Station/Brentwood Station,,3,,,
6656,TL,143,Burquitlam Station/SFU,,3,,,
6657,TL,144,SFU/Metrotown Station,,3,,,
6658,TL,145,SFU/Production Station,,3,,,
6659,TL,151,Coquitlam Central Station/Burquitlam Station,,3,,,
6660,TL,152,Coquitlam Central Station/Lougheed Station,,3,,,
6661,TL,153,Coquitlam Central Station/Braid Station,,3,,,
6662,TL,128,Braid Station/22nd Street Station,,3,,,
6663,TL,155,Braid Station/22nd Street  Station,,3,,,
6664,TL,156,Braid Station/Lougheed Station,,3,,,
6665,TL,157,Burquitlam Station/Lougheed Station,,3,,,
6666,TL,159,Coquitlam Central Station/Braid Station,,3,,,
6667,TL,160,Port Coquitlam Station/Kootenay Loop Loop,,3,,,
6668,TL,169,Coquitlam Central Station/Braid Station,,3,,,
6672,TL,210,Upper Lynn Valley/Burrard Station,,3,,,
6673,TL,211,Seymour/Phibbs Exchange/Burrard Station,,3,,,
6674,TL,212,Deep Cove/Phibbs Exchange,,3,,,
6675,TL,214,Blueridge/Phibbs Exchange/Burrard Station,,3,,,
6676,TL,228,Lynn Valley/Lonsdale Quay,,3,,,
6677,TL,229,Lynn Valley/Lonsdale Quay,,3,,,
6678,TL,230,Upper Lonsdale/Lonsdale Quay,,3,,,
6679,TL,232,Grouse Mountain Mountain/Phibbs Exchange,,3,,,
